study_word	study_cue	study_instruction	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time
WOOL	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
WORD	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
GAZE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
CROSS	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
PROSE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
FRUIT	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
OCCASION	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
NEON	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
INDEX	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
DESTINY	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
GOLF	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
GRADE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
JOKE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
GATE	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
PAPER	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
JOURNEY	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
GRASS	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
WRITING	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
KITCHEN	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
RABBIT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
JAIL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
TACTICS	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
OFFICER	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
ABSENCE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
NAME	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
IMPACT	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
YARN	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
QUEEN	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	RAIL	Exes.png	silent	'	-1	-1	-1
