study_word	study_cue	study_instruction	word	cue	practice_word	practice_cue	test_word	test_luminance_cue	test_condition	Key_Pressed	Key_Press_Time	Word_on_Time	Response_Time
REAL	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
UNIT	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DEBUT	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GROUND	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
MYTH	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
MONUMENT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ILLUSION	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
LATIN	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
OPERA	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
DEAL	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
VARIABLE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
EDGE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ACTOR	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
QUOTE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
WISE	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
FRAME	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
UPRIGHT	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
KNOCK	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
JUSTICE	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
GIANT	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
ADDITION	Plus.png	prod	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
LAUNCH	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
NATION	Exes.png	silent	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
JEAN	Check.png	check	"If you see this cue, read the word silently"	exes.png	SEA	Check.png	JUDGE	New	new	'	-1	-1	-1
